Name,RA_1,Dec_1,N_exp,SNR,sobject_id,rv_guess,e_rv_guess,snr2_c2_iraf
GJ3804,206.46259,-17.96702,18,62.2650784951,150428000601144,,,24.7976089542
HATS606-028,140.086017,-31.26744,3,9.77752524926,160419002101099,,,32.8723351546
C01T002,171.515241,1.22922,6,45.9514961672,150411003601062,-36.5113913043,0.0826757655955,57.5013882909
WASP36,131.580725,-8.02723,17,43.4319007183,140114004201119,-12.6525111252,0.12914483078,61.0473643598
eps-For,45.40839,-28.09218,1,269.0,140806005301134,18.3,0.0,67.2524943114
HATS606-001,141.858432,-29.63877,6,34.2451456414,150107004201276,81.5528240406,0.0498404958994,73.1926009709
CD-71-1234,241.93812,-71.34971,23,190.218453363,160815002101207,,,74.2052205489
SW0511-2603,75.299874,-26.05285,33,71.314164091,160129003101305,19.5384216726,0.295054729391,87.4683461151
HD160691,266.03827,-51.83459,1601,6509.17107088,140807001701174,-7.57179652286,0.0404982318252,88.5283036727
C02T009,249.02505,-19.74425,13,89.4428868049,150411006101106,-19.0883879423,0.0830823489399,89.9094814174
HD89920,155.45727,-44.51149,25,202.90556917,160522001601078,,,115.747619866
HD89920,155.45727,-44.51149,25,202.90556917,160522001701078,,,115.778222552
HD89920,155.45727,-44.51149,25,202.90556917,160522001801078,,,115.848325201
HD162396,268.21645,-41.99713,66,1427.12606311,140807002101174,-14.3011754587,0.239524289701,117.089802428
HIP95417,291.1399,-22.06148,9,66.6699332533,151009002101354,52.7569086651,0.08143136857,125.644295278
HIP38324,117.76565,-50.30497,16,129.851530603,151231003201126,-5.7,0.0,126.857698073
HD45184,96.18439,-28.78082,302,3388.99228238,131119001701221,-12.2406623735,0.302741354927,191.747640861
HD22879,55.09315,-3.21721,126,2096.62256975,140710009001032,117.401756229,0.335902461354,197.347958483
HD-140283,235.76156,-10.93363,2,420.402331107,140808000901102,,,203.910268923
HD13217,32.14988,-26.29879,2,61.7059154377,160107003101133,13.0,1.7763568394E-15,233.644428009
HD89920,155.45727,-44.51149,25,202.90556917,160522002101078,59.5,0.0,271.721520205
HD65114,118.69782,-49.83715,15,151.592381075,151231003201031,55.4757961783,0.282916142643,277.52384145
psi-Phe,28.41357,-46.30469,5,506.817856828,141202003001147,11.0646324549,0.0874913675528,301.210172524
HD23249,55.80997,-9.76429,129,3801.64958406,140710008301032,-7.3,8.881784197E-16,450.12440045
HD33256,77.18294,-4.45753,38,1489.24078308,140114004701165,38.076013905,0.226566895239,543.752783162
HD121370,208.67403,18.39738,2,46.5559877996,150210006401171,-5.4,0.0,720.456636442
HD121370,208.67403,18.39738,2,46.5559877996,140709001901194,10.2,0.0,847.577271416
HD-107328,185.08487,3.31249,1,321.0,140710000801284,40.1382133254,0.0472214860214,897.938394267
HD160691,266.03827,-51.83459,1601,6509.17107088,140708003401078,4.5,8.881784197E-16,956.709681285
