Name, RA, Dec, N_exp, SNR
HD222669,356.01227,-82.50811,64,950.797970128
IOTHOR,40.64262,-50.79997,408,3000.50681719
HD65277,119.49032,-0.81466,52,779.310528608
Gl438,175.8316,-51.81969,30,357.893475772
HD83443,144.3003,-43.27347,50,772.078985597
beta Pic,86.82335,-51.06829,505,6405.15316601
HIP23708,76.45071,-57.55433,68,1479.1462808
HD290038,77.90455,-1.85554,20,183.768033129
HD25171,58.96086,-65.18655,51,617.699449571
HD43834,92.56789,-74.75361,212,2771.96590708
HD209100,330.85081,-56.7897,353,4228.38793277
HD24633,58.74201,-1.26271,51,272.414169969
BD-082534,134.32115,-9.4638,16,243.766978896
HD75745,132.39834,-52.47717,16,263.885789689
HD213042,337.31381,-30.01856,37,777.269657198
HIP9398,30.19881,-45.84274,5,68.8071217244
Q0515,79.28243,-44.18241,18,33.1900587526
HD59468,111.86004,-51.4047,543,4101.84869784
BD-040782,63.79156,-4.41905,2,44.7611438638
HD45184,96.18439,-28.78082,302,3388.99228238
BD-130321,26.93186,-12.77108,40,197.060447579
LHS3836,339.52116,-65.83564,13,11.0285991858
HD361,2.06868,-14.82389,21,864.767841678
HD22610,53.69279,-62.45661,4,116.892899699
HD6718,16.95277,-8.23503,37,300.438446275
HR2667,105.98822,-43.60836,94,2056.66194354
HD16714,39.94954,-33.90057,37,577.854471299
HD41071,90.17322,-44.89715,10,94.9974210176
HD43197,93.40049,-29.89698,47,301.250510373
HD192310,303.82567,-27.03328,1487,6830.61309767
HD221420,353.33559,-77.38555,64,1567.85601061
HD65907A,119.44529,-60.30332,740,6184.92989693
HD30053,70.33214,-52.62577,35,667.424527568
HD35854,81.56314,-32.50454,62,1077.31502821
HD69655,123.85644,-52.06043,51,1349.41667768
HD32450A,75.61887,-21.25626,1,26.2
HD20794,49.98843,-43.06929,2967,15866.3809938
BD-090956,70.12163,-9.19549,5,44.9861089671
HD26430,62.03324,-53.78052,207,223.791242009
HD41087,90.29515,-38.27456,14,170.445152468
HD4308,11.17086,-65.64967,165,2217.63850977
HD38078,85.34889,-35.71363,7,102.623048093
HD283,1.88661,-23.82081,21,390.648537691
HD31026,72.64889,-41.04702,1,28.7
HR2787,109.57774,-36.7356,14,1106.80360046
bps22497,10.41399,-26.31472,3,45.6274040463
HD3823,10.11262,-59.45376,111,2278.7568058
HD41172,90.52837,-27.42718,2,66.2643946626
GJ1125,142.68495,0.32194,9,53.1320995256
G108-22,100.55818,3.59149,18,53.4146983517
HD23456,55.77456,-50.64361,29,1033.07985171
HD24892,59.1203,-25.1831,27,1000.01496489
Gl388,154.89916,19.86885,61,894.963367965
HD11505,28.27825,-1.32756,24,810.736455329
HD19034,45.91258,-5.66669,22,553.632305777
HD9782,23.86018,-13.38109,32,955.107590798
HR7703,302.79974,-36.10448,45,956.169739115
HD181433,291.2925,-66.46893,194,1240.18145043
HD218511,347.43154,-67.73341,6,228.604877463
HD13252,32.23654,-27.41918,4,99.584687578
HD44420,95.43115,-0.53938,22,748.724395222
HD97998,168.95499,-39.32473,23,884.166777254
LHS1731,75.83519,-17.37577,9,43.7346544516
LHS1935,114.67183,-21.22498,8,40.5251773593
Gl908,357.30159,2.39825,87,572.462182157
HD13060,30.19592,-80.53393,92,620.011338606
HR3259,124.60089,-12.63406,657,5351.43988661
HD25004,59.15365,-41.3452,6,118.854659143
ZET1RET,49.45319,-62.574,264,3610.72494106
HD28821,68.09122,-5.03951,26,749.211852549
HD38973,86.61734,-53.21895,44,1144.60273458
HD21938,52.71153,-37.37402,23,684.663106937
HD40503,89.37117,-37.84892,4,54.0328603722
BD-170400,32.29657,-16.33903,205,340.559965351
HR8858,349.47386,-9.18429,9,794.795011308
GJ1002,1.67744,-7.5424,7,8.74871419124
HD67458,121.75323,-29.40335,29,1082.16051028
LHS1481,44.54406,-12.88575,10,28.1879406839
LHS288,161.08884,-61.20856,8,9.07083237636
HD7377,18.43734,-8.31772,40,1373.46037802
HD72579,127.78981,-54.08879,51,678.901819117
HD38382,86.12022,-20.12665,28,1040.16954387
HD34449,72.64191,-85.37655,22,428.521201342
HD88218,152.38299,-35.85687,89,1967.31939196
HD3569,9.63735,-12.17423,18,305.741737419
HD210918,333.66268,-41.38377,98,1979.38910525
HD83529,144.37109,-49.99099,35,1013.1040223
HD55693,108.26156,-24.22741,29,993.444683916
HD9796,23.83869,-21.20227,21,421.400355956
HD78747,136.98689,-50.48282,67,1146.84831604
HD18386,44.15787,-22.30944,14,407.151826718
HD31822,74.6509,-9.33502,81,1196.62537162
HD44447,93.77945,-71.70327,60,1226.99966178
HD13789,33.55782,-3.63527,11,305.682842175
Gl803,311.2912,-31.34608,34,375.680609028
HD22879,55.09315,-3.21721,126,2096.62256975
HD196761,310.0493,-23.77434,86,1776.86636245
HD35650,81.1265,-38.97113,38,326.340497027
HD71479,126.89638,-5.14888,32,1025.32856685
HD40307,88.5189,-60.02373,447,3215.1794911
HD30669,72.1188,-28.41876,54,309.919086214
Gl145,53.23385,-44.70397,7,47.2142986816
HD44573,95.38831,-22.21774,26,536.309518841
BD-131434,94.59368,-13.86922,15,136.496190423
HD216777,343.95995,-7.8223,23,579.196944053
HD39194,86.1325,-70.14271,266,1820.6786427
HD72673,128.21411,-31.49981,448,4239.4766269
HD66740,121.00575,-26.97388,4,167.561302215
GJ1123,139.2688,-77.82555,7,10.0523629063
HD62816,116.37256,-10.16165,7,234.056488908
HD4838,12.45036,-54.59297,7,85.790850328
HD35490A,80.83882,-36.6703,2,40.3832886229
G161-71,146.225,-12.34851,2,3.28024389337
HD21693,51.80857,-58.32336,216,1778.29060055
HD102365,176.62864,-40.5016,349,4897.56362491
HD10180,24.4784,-60.51113,342,2765.66194789
BS17586-014,132.78952,-11.85977,4,53.9149329963
HD11507,28.20668,-22.435,11,145.599244504
HD10895,26.50325,-43.91407,14,161.687167085
HD88656,153.21923,-28.51412,5,153.071192587
HD74014,130.32808,-4.80978,24,758.16221879
HD967,3.51939,-11.31333,82,797.186979322
HIP14568,47.0289,-24.76011,2,18.6496648763
HD20492,49.31371,-20.68573,15,138.731142863
HD197890,311.93764,-36.59562,9,183.494904561
Gl191,77.93127,-45.02766,130,677.447747062
HIP108216,328.8612,-61.21077,3,60.181890964
HD196892,310.20721,-18.79319,35,502.507124328
LHS6167,138.90194,-10.59751,2,3.36005952328
Gl105B,39.06575,6.87182,299,2584.12912216
HD78612,137.20816,-10.75746,32,896.590765065
HD37962,85.21676,-31.35047,5,315.821072761
Gl358,144.94422,-41.0684,38,179.23311636
HD30858,72.55369,-26.13072,3,59.848809512
HD41248,90.1392,-56.16181,229,1113.89850076
HD78558,137.10539,-15.14548,34,1030.09247158
HD86065,148.92615,-18.10733,27,336.535228468
HD44219,95.06153,-10.72535,23,285.720807783
HIP108567,329.89118,-60.93324,5,62.6573219983
HIP29322,92.75193,-65.20664,16,93.2418361038
HD73256,129.0966,-30.03928,34,865.718441527
LHS543,350.40407,17.2873,7,40.0108735221
HD16417,39.24455,-34.57865,274,3495.18395367
HD4457,11.43398,-67.87447,55,257.4
GJ1265,333.42937,-17.68969,31,150.592928121
HD17439,41.02157,-68.1477,37,209.183077709
HR3677,138.73931,-37.60362,81,1419.49097919
LHS1513,47.8982,-38.79283,6,9.49789450352
HD86171,149.15965,-8.83586,8,330.08615542
BD-160308,27.19663,-15.47325,12,126.118277819
HD36379,82.74917,-10.08415,99,1805.57210047
HD213941,339.03728,-54.61122,29,759.459900192
HD215456,341.5361,-48.97829,215,2611.8066008
HD27894,65.20436,-59.41008,42,281.084044371
HD42606,92.76474,-13.80144,6,96.3229463835
HD44594,95.02884,-48.74341,45,1173.13154846
HD25565,60.52558,-36.61718,6,174.827486397
HD11964A,29.28969,-10.24275,154,2213.83064167
Gl402,162.71538,6.80705,6,38.6800982419
Gl176,70.73315,18.95511,73,322.730816626
HD61986,115.22701,-26.36452,31,503.938627216
HD66488,120.88571,-8.17311,3,105.913408028
HD85119,147.20978,-37.31083,37,496.182466437
HD42499A,92.4853,-25.62538,1,35.2
BD-010184,21.28826,-1.06178,6,78.1886820454
HD211415,334.56657,-53.62768,172,2803.33511554
GJ1061,54.00212,-44.51491,7,16.463596205
HD20782,50.01771,-28.8541,307,2024.35681637
L225-57,38.59219,-53.0945,11,32.9485963282
HD51608,103.71936,-55.26128,218,1676.89364004
HD85512,147.78121,-43.50377,1076,3555.44134251
HD1171,4.00132,-22.42215,5,98.5934582008
HD92588,160.35121,-1.74251,98,1482.92581743
HD82558,143.10878,-11.18557,37,626.353342771
HD221580,353.42207,-53.65893,54,496.210550069
Gl250B,103.07588,-5.19146,40,173.933924236
Gl299,122.9907,8.76662,27,34.9861401129
GJ1065,57.68472,-6.09743,8,21.478593995
HD207190,326.91614,-19.57901,44,793.502804028
HD195633,308.10112,6.51776,51,246.353851198
BD-120525,42.02881,-11.76244,3,34.0825468532
HD2025,6.11039,-27.02763,6,347.310279145
HIP11989,38.65497,-42.17225,7,96.0863153628
HD197197,310.65589,-13.09493,56,679.914148992
HD31527,73.90954,-23.24188,261,2553.39256285
HD211532,334.45977,-7.58948,12,162.267248698
HD52919,105.67893,-6.79976,7,296.737914665
HD65216,118.42408,-63.64709,24,555.457397106
HD48611,99.45982,-70.9328,12,333.013423153
HD212580,336.76523,-62.5246,5,225.331400386
HD44120,94.07707,-59.21428,36,1157.53845724
Gl877,343.94936,-75.459,49,191.124121973
HD45364,96.41122,-31.48426,108,1235.98009693
HD33822,77.87409,-33.88054,4,97.5116916067
HD207869,328.80336,-69.02031,79,592.982546118
HD21749,51.75666,-63.49967,54,732.937207406
LP771-95A,45.46269,-16.59553,9,62.2431522338
Gl83.1,30.05557,13.04838,25,46.7188398829
HD193193,304.93847,-25.22928,50,1139.16837649
GJ2066,124.03221,1.30237,93,308.947600735
HD25535A,60.51667,-34.4841,6,76.910207385
HD68607,122.79081,-46.29862,52,643.549951441
HD6673,16.70161,-50.99079,20,259.998653843
HD25105,59.48124,-36.26038,6,235.877574178
HD203432,320.84388,-41.55314,44,937.030447744
HIP110258,335.01046,-49.06172,6,109.564455915
No-Name,42.27338,-32.40555,1,291.1
HD32969A,76.36592,-33.81149,3,57.4174189598
HD20280,48.68793,-26.4478,10,99.1758539162
Gl54.1,18.13063,-16.9999,163,132.33548277
HD19467,46.82828,-13.76179,72,1584.4910634
HD222595,355.55587,-53.42374,34,741.300667746
HD220339,350.77125,-10.76396,35,794.821168566
HD21019,50.82429,-7.79444,48,1275.13549476
LHS1610,58.17324,17.01508,6,100.982226159
Gl382,153.07436,-3.74666,32,309.159182299
HD1461,4.67493,-8.05428,441,3813.52837671
HD80883,139.9351,-59.47819,20,415.279953766
HD20003,46.91473,-72.32206,197,1298.47582188
HD210797,333.58136,-53.30004,38,213.75843843
HD199847,315.66806,-61.88012,60,475.56105812
HD16297,39.03222,-28.22166,12,383.113599341
HD208233,329.47712,-68.21369,1,24.1
HD171990,281.96274,-77.8675,73,1204.71948602
HD62128,115.51013,-11.85234,16,332.939348831
Gl876,343.319,-14.26736,257,508.080672728
