# Name, RA, Dec, N_exp, SNR, Teff, logg, [M/H]
HD222669,356.01227,-82.50811,64.0,950.797970128,0.0,0.0,0.0
IOTHOR,40.64262,-50.79997,408.0,3000.50681719,5817.0,4.17,0.07
HD65277,119.49032,-0.81466,52.0,779.310528608,5635.0,4.55,-0.12
Gl438,175.8316,-51.81969,30.0,357.893475772,0.0,0.0,0.0
HD83443,144.3003,-43.27347,50.0,772.078985597,6016.0,4.41,0.12
beta Pic,86.82335,-51.06829,505.0,6405.15316601,0.0,0.0,0.0
HIP23708,76.45071,-57.55433,68.0,1479.1462808,0.0,0.0,0.0
HD290038,77.90455,-1.85554,20.0,183.768033129,5006.0,4.42,0.01
HD25171,58.96086,-65.18655,51.0,617.699449571,6160.0,4.43,-0.11
HD43834,92.56789,-74.75361,212.0,2771.96590708,5718.0,4.42,-0.05
HD209100,330.85081,-56.7897,353.0,4228.38793277,0.0,0.0,0.0
HD24633,58.74201,-1.26271,51.0,272.414169969,5276.0,4.36,-0.04
BD-082534,134.32115,-9.4638,16.0,243.766978896,5405.0,4.43,-0.78
HD75745,132.39834,-52.47717,16.0,263.885789689,0.0,0.0,0.0
HD213042,337.31381,-30.01856,37.0,777.269657198,0.0,0.0,0.0
HIP9398,30.19881,-45.84274,5.0,68.8071217244,4734.0,4.49,-0.43
Q0515,79.28243,-44.18241,18.0,33.1900587526,0.0,0.0,0.0
HD59468,111.86004,-51.4047,543.0,4101.84869784,5869.0,4.35,0.18
BD-040782,63.79156,-4.41905,2.0,44.7611438638,0.0,0.0,0.0
HD45184,96.18439,-28.78082,302.0,3388.99228238,5844.0,4.41,0.14
BD-130321,26.93186,-12.77108,40.0,197.060447579,4772.0,4.41,0.02
LHS3836,339.52116,-65.83564,13.0,11.0285991858,0.0,0.0,0.0
HD361,2.06868,-14.82389,21.0,864.767841678,0.0,0.0,0.0
HD22610,53.69279,-62.45661,4.0,116.892899699,0.0,0.0,0.0
HD6718,16.95277,-8.23503,37.0,300.438446275,5723.0,4.44,-0.07
HR2667,105.98822,-43.60836,94.0,2056.66194354,6051.0,4.23,0.23
HD16714,39.94954,-33.90057,37.0,577.854471299,0.0,0.0,0.0
HD41071,90.17322,-44.89715,10.0,94.9974210176,0.0,0.0,0.0
HD43197,93.40049,-29.89698,47.0,301.250510373,5449.0,4.3,0.36
HD192310,303.82567,-27.03328,1487.0,6830.61309767,5163.0,3.79,-0.18
HD221420,353.33559,-77.38555,64.0,1567.85601061,6539.0,4.34,0.21
HD65907A,119.44529,-60.30332,740.0,6184.92989693,4964.0,4.71,-0.05
HD30053,70.33214,-52.62577,35.0,667.424527568,6139.0,4.51,-0.22
HD35854,81.56314,-32.50454,62.0,1077.31502821,5999.0,4.25,-0.08
HD69655,123.85644,-52.06043,51.0,1349.41667768,5711.0,4.41,-0.28
HD32450A,75.61887,-21.25626,1.0,26.2,0.0,0.0,0.0
HD20794,49.98843,-43.06929,2967.0,15866.3809938,5110.0,4.49,-0.04
BD-090956,70.12163,-9.19549,5.0,44.9861089671,0.0,0.0,0.0
HD26430,62.03324,-53.78052,207.0,223.791242009,4948.0,4.37,-0.26
HD41087,90.29515,-38.27456,14.0,170.445152468,5562.0,4.52,-0.13
HD4308,11.17086,-65.64967,165.0,2217.63850977,5695.0,4.58,-0.18
HD38078,85.34889,-35.71363,7.0,102.623048093,5651.0,4.47,-0.29
HD283,1.88661,-23.82081,21.0,390.648537691,5094.0,4.57,-0.47
HD31026,72.64889,-41.04702,1.0,28.7,0.0,0.0,0.0
HR2787,109.57774,-36.7356,14.0,1106.80360046,0.0,0.0,0.0
bps22497,10.41399,-26.31472,3.0,45.6274040463,0.0,0.0,0.0
HD3823,10.11262,-59.45376,111.0,2278.7568058,6014.0,4.23,-0.21
HD41172,90.52837,-27.42718,2.0,66.2643946626,0.0,0.0,0.0
GJ1125,142.68495,0.32194,9.0,53.1320995256,0.0,0.0,0.0
G108-22,100.55818,3.59149,18.0,53.4146983517,0.0,0.0,0.0
HD23456,55.77456,-50.64361,29.0,1033.07985171,0.0,0.0,0.0
HD24892,59.1203,-25.1831,27.0,1000.01496489,5205.0,3.7,-0.26
Gl388,154.89916,19.86885,61.0,894.963367965,nan,nan,nan
HD11505,28.27825,-1.32756,24.0,810.736455329,5890.0,4.24,0.17
HD19034,45.91258,-5.66669,22.0,553.632305777,4894.0,4.57,-0.07
HD9782,23.86018,-13.38109,32.0,955.107590798,0.0,0.0,0.0
HR7703,302.79974,-36.10448,45.0,956.169739115,6139.0,4.25,0.12
HD181433,291.2925,-66.46893,194.0,1240.18145043,0.0,0.0,0.0
HD218511,347.43154,-67.73341,6.0,228.604877463,0.0,0.0,0.0
HD13252,32.23654,-27.41918,4.0,99.584687578,5358.0,4.33,-0.25
HD44420,95.43115,-0.53938,22.0,748.724395222,6095.0,4.02,0.06
HD97998,168.95499,-39.32473,23.0,884.166777254,5882.0,4.38,0.02
LHS1731,75.83519,-17.37577,9.0,43.7346544516,0.0,0.0,0.0
LHS1935,114.67183,-21.22498,8.0,40.5251773593,0.0,0.0,0.0
Gl908,357.30159,2.39825,87.0,572.462182157,0.0,0.0,0.0
HD13060,30.19592,-80.53393,92.0,620.011338606,0.0,0.0,0.0
HR3259,124.60089,-12.63406,657.0,5351.43988661,5724.0,4.4,0.1
HD25004,59.15365,-41.3452,6.0,118.854659143,0.0,0.0,0.0
ZET1RET,49.45319,-62.574,264.0,3610.72494106,6032.0,4.31,0.13
HD28821,68.09122,-5.03951,26.0,749.211852549,0.0,0.0,0.0
HD38973,86.61734,-53.21895,44.0,1144.60273458,5351.0,4.6,0.16
HD21938,52.71153,-37.37402,23.0,684.663106937,0.0,0.0,0.0
HD40503,89.37117,-37.84892,4.0,54.0328603722,4953.0,4.29,-0.03
BD-170400,32.29657,-16.33903,205.0,340.559965351,0.0,0.0,0.0
HR8858,349.47386,-9.18429,9.0,794.795011308,0.0,0.0,0.0
GJ1002,1.67744,-7.5424,7.0,8.74871419124,0.0,0.0,0.0
HD67458,121.75323,-29.40335,29.0,1082.16051028,4741.0,4.76,-0.16
LHS1481,44.54406,-12.88575,10.0,28.1879406839,0.0,0.0,0.0
LHS288,161.08884,-61.20856,8.0,9.07083237636,0.0,0.0,0.0
HD7377,18.43734,-8.31772,40.0,1373.46037802,0.0,0.0,0.0
HD72579,127.78981,-54.08879,51.0,678.901819117,0.0,0.0,0.0
HD38382,86.12022,-20.12665,28.0,1040.16954387,5364.0,4.44,-0.1
HD34449,72.64191,-85.37655,22.0,428.521201342,0.0,0.0,0.0
HD88218,152.38299,-35.85687,89.0,1967.31939196,5676.0,4.49,0.04
HD3569,9.63735,-12.17423,18.0,305.741737419,0.0,0.0,0.0
HD210918,333.66268,-41.38377,98.0,1979.38910525,5977.0,4.0,-0.07
HD83529,144.37109,-49.99099,35.0,1013.1040223,4868.0,4.8,-0.04
HD55693,108.26156,-24.22741,29.0,993.444683916,5827.0,4.44,-0.15
HD9796,23.83869,-21.20227,21.0,421.400355956,0.0,0.0,0.0
HD78747,136.98689,-50.48282,67.0,1146.84831604,0.0,0.0,0.0
HD18386,44.15787,-22.30944,14.0,407.151826718,0.0,0.0,0.0
HD31822,74.6509,-9.33502,81.0,1196.62537162,0.0,0.0,0.0
HD44447,93.77945,-71.70327,60.0,1226.99966178,6218.0,4.21,0.15
HD13789,33.55782,-3.63527,11.0,305.682842175,0.0,0.0,0.0
Gl803,311.2912,-31.34608,34.0,375.680609028,0.0,0.0,0.0
HD22879,55.09315,-3.21721,126.0,2096.62256975,5475.0,4.5,0.15
HD196761,310.0493,-23.77434,86.0,1776.86636245,5886.0,4.48,-0.11
HD35650,81.1265,-38.97113,38.0,326.340497027,0.0,0.0,0.0
HD71479,126.89638,-5.14888,32.0,1025.32856685,5706.0,4.43,0.16
HD40307,88.5189,-60.02373,447.0,3215.1794911,5697.0,4.05,0.27
HD30669,72.1188,-28.41876,54.0,309.919086214,5400.0,4.37,0.13
Gl145,53.23385,-44.70397,7.0,47.2142986816,0.0,0.0,0.0
HD44573,95.38831,-22.21774,26.0,536.309518841,0.0,0.0,0.0
BD-131434,94.59368,-13.86922,15.0,136.496190423,0.0,0.0,0.0
HD216777,343.95995,-7.8223,23.0,579.196944053,0.0,0.0,0.0
HD39194,86.1325,-70.14271,266.0,1820.6786427,0.0,0.0,0.0
HD72673,128.21411,-31.49981,448.0,4239.4766269,5693.0,3.89,-0.16
HD66740,121.00575,-26.97388,4.0,167.561302215,6666.0,4.49,0.04
GJ1123,139.2688,-77.82555,7.0,10.0523629063,0.0,0.0,0.0
HD62816,116.37256,-10.16165,7.0,234.056488908,0.0,0.0,0.0
HD4838,12.45036,-54.59297,7.0,85.790850328,4704.0,4.63,-0.21
HD35490A,80.83882,-36.6703,2.0,40.3832886229,0.0,0.0,0.0
G161-71,146.225,-12.34851,2.0,3.28024389337,0.0,0.0,0.0
HD21693,51.80857,-58.32336,216.0,1778.29060055,0.0,0.0,0.0
HD102365,176.62864,-40.5016,349.0,4897.56362491,5706.0,4.49,0.11
HD10180,24.4784,-60.51113,342.0,2765.66194789,5281.0,4.45,0.19
BS17586-014,132.78952,-11.85977,4.0,53.9149329963,0.0,0.0,0.0
HD11507,28.20668,-22.435,11.0,145.599244504,0.0,0.0,0.0
HD10895,26.50325,-43.91407,14.0,161.687167085,5685.0,4.52,-0.27
HD88656,153.21923,-28.51412,5.0,153.071192587,0.0,0.0,0.0
HD74014,130.32808,-4.80978,24.0,758.16221879,5959.0,4.41,0.09
HD967,3.51939,-11.31333,82.0,797.186979322,0.0,0.0,0.0
HIP14568,47.0289,-24.76011,2.0,18.6496648763,0.0,0.0,0.0
HD20492,49.31371,-20.68573,15.0,138.731142863,4770.0,4.3,0.02
HD197890,311.93764,-36.59562,9.0,183.494904561,0.0,0.0,0.0
Gl191,77.93127,-45.02766,130.0,677.447747062,0.0,0.0,0.0
HIP108216,328.8612,-61.21077,3.0,60.181890964,4830.0,4.53,-0.51
HD196892,310.20721,-18.79319,35.0,502.507124328,0.0,0.0,0.0
LHS6167,138.90194,-10.59751,2.0,3.36005952328,0.0,0.0,0.0
Gl105B,39.06575,6.87182,299.0,2584.12912216,0.0,0.0,0.0
HD78612,137.20816,-10.75746,32.0,896.590765065,0.0,0.0,0.0
HD37962,85.21676,-31.35047,5.0,315.821072761,5500.0,4.6,-0.29
Gl358,144.94422,-41.0684,38.0,179.23311636,0.0,0.0,0.0
HD30858,72.55369,-26.13072,3.0,59.848809512,5182.0,4.45,-0.13
HD41248,90.1392,-56.16181,229.0,1113.89850076,5713.0,4.49,-0.37
HD78558,137.10539,-15.14548,34.0,1030.09247158,0.0,0.0,0.0
HD86065,148.92615,-18.10733,27.0,336.535228468,0.0,0.0,0.0
HD44219,95.06153,-10.72535,23.0,285.720807783,5766.0,4.2,0.04
HIP108567,329.89118,-60.93324,5.0,62.6573219983,0.0,0.0,0.0
HIP29322,92.75193,-65.20664,16.0,93.2418361038,0.0,0.0,0.0
HD73256,129.0966,-30.03928,34.0,865.718441527,0.0,0.0,0.0
LHS543,350.40407,17.2873,7.0,40.0108735221,0.0,0.0,0.0
HD16417,39.24455,-34.57865,274.0,3495.18395367,5374.0,4.69,-0.45
HD4457,11.43398,-67.87447,55.0,257.4,5015.0,4.53,-0.37
GJ1265,333.42937,-17.68969,31.0,150.592928121,0.0,0.0,0.0
HD17439,41.02157,-68.1477,37.0,209.183077709,5721.0,4.44,0.08
HR3677,138.73931,-37.60362,81.0,1419.49097919,0.0,0.0,0.0
LHS1513,47.8982,-38.79283,6.0,9.49789450352,0.0,0.0,0.0
HD86171,149.15965,-8.83586,8.0,330.08615542,0.0,0.0,0.0
BD-160308,27.19663,-15.47325,12.0,126.118277819,5183.0,4.48,-0.41
HD36379,82.74917,-10.08415,99.0,1805.57210047,0.0,0.0,0.0
HD213941,339.03728,-54.61122,29.0,759.459900192,0.0,0.0,0.0
HD215456,341.5361,-48.97829,215.0,2611.8066008,0.0,0.0,0.0
HD27894,65.20436,-59.41008,42.0,281.084044371,0.0,0.0,0.0
HD42606,92.76474,-13.80144,6.0,96.3229463835,0.0,0.0,0.0
HD44594,95.02884,-48.74341,45.0,1173.13154846,6003.0,4.19,0.06
HD25565,60.52558,-36.61718,6.0,174.827486397,0.0,0.0,0.0
HD11964A,29.28969,-10.24275,154.0,2213.83064167,6405.0,4.0,0.01
Gl402,162.71538,6.80705,6.0,38.6800982419,0.0,0.0,0.0
Gl176,70.73315,18.95511,73.0,322.730816626,0.0,0.0,0.0
HD61986,115.22701,-26.36452,31.0,503.938627216,5725.0,4.48,-0.34
HD66488,120.88571,-8.17311,3.0,105.913408028,0.0,0.0,0.0
HD85119,147.20978,-37.31083,37.0,496.182466437,0.0,0.0,0.0
HD42499A,92.4853,-25.62538,1.0,35.2,0.0,0.0,0.0
BD-010184,21.28826,-1.06178,6.0,78.1886820454,4728.0,4.34,-0.34
HD211415,334.56657,-53.62768,172.0,2803.33511554,0.0,0.0,0.0
GJ1061,54.00212,-44.51491,7.0,16.463596205,0.0,0.0,0.0
HD20782,50.01771,-28.8541,307.0,2024.35681637,5699.0,4.58,-0.22
L225-57,38.59219,-53.0945,11.0,32.9485963282,0.0,0.0,0.0
HD51608,103.71936,-55.26128,218.0,1676.89364004,0.0,0.0,0.0
HD85512,147.78121,-43.50377,1076.0,3555.44134251,0.0,0.0,0.0
HD1171,4.00132,-22.42215,5.0,98.5934582008,5293.0,4.47,-0.53
HD92588,160.35121,-1.74251,98.0,1482.92581743,0.0,0.0,0.0
HD82558,143.10878,-11.18557,37.0,626.353342771,5573.0,4.44,0.26
HD221580,353.42207,-53.65893,54.0,496.210550069,0.0,0.0,0.0
Gl250B,103.07588,-5.19146,40.0,173.933924236,0.0,0.0,0.0
Gl299,122.9907,8.76662,27.0,34.9861401129,0.0,0.0,0.0
GJ1065,57.68472,-6.09743,8.0,21.478593995,0.0,0.0,0.0
HD207190,326.91614,-19.57901,44.0,793.502804028,6182.0,4.33,-0.42
HD195633,308.10112,6.51776,51.0,246.353851198,0.0,0.0,0.0
BD-120525,42.02881,-11.76244,3.0,34.0825468532,0.0,0.0,0.0
HD2025,6.11039,-27.02763,6.0,347.310279145,4865.0,4.61,-0.27
HIP11989,38.65497,-42.17225,7.0,96.0863153628,0.0,0.0,0.0
HD197197,310.65589,-13.09493,56.0,679.914148992,0.0,0.0,0.0
HD31527,73.90954,-23.24188,261.0,2553.39256285,5766.0,4.36,0.16
HD211532,334.45977,-7.58948,12.0,162.267248698,0.0,0.0,0.0
HD52919,105.67893,-6.79976,7.0,296.737914665,0.0,0.0,0.0
HD65216,118.42408,-63.64709,24.0,555.457397106,0.0,0.0,0.0
HD48611,99.45982,-70.9328,12.0,333.013423153,0.0,0.0,0.0
HD212580,336.76523,-62.5246,5.0,225.331400386,0.0,0.0,0.0
HD44120,94.07707,-59.21428,36.0,1157.53845724,5908.0,4.23,0.23
Gl877,343.94936,-75.459,49.0,191.124121973,0.0,0.0,0.0
HD45364,96.41122,-31.48426,108.0,1235.98009693,0.0,0.0,0.0
HD33822,77.87409,-33.88054,4.0,97.5116916067,5726.0,4.29,0.26
HD207869,328.80336,-69.02031,79.0,592.982546118,0.0,0.0,0.0
HD21749,51.75666,-63.49967,54.0,732.937207406,0.0,0.0,0.0
LP771-95A,45.46269,-16.59553,9.0,62.2431522338,0.0,0.0,0.0
Gl83.1,30.05557,13.04838,25.0,46.7188398829,0.0,0.0,0.0
HD193193,304.93847,-25.22928,50.0,1139.16837649,5822.0,4.44,0.14
GJ2066,124.03221,1.30237,93.0,308.947600735,0.0,0.0,0.0
HD25535A,60.51667,-34.4841,6.0,76.910207385,0.0,0.0,0.0
HD68607,122.79081,-46.29862,52.0,643.549951441,0.0,0.0,0.0
HD6673,16.70161,-50.99079,20.0,259.998653843,0.0,0.0,0.0
HD25105,59.48124,-36.26038,6.0,235.877574178,0.0,0.0,0.0
HD203432,320.84388,-41.55314,44.0,937.030447744,0.0,0.0,0.0
HIP110258,335.01046,-49.06172,6.0,109.564455915,0.0,0.0,0.0
No-Name,42.27338,-32.40555,1.0,291.1,0.0,0.0,0.0
HD32969A,76.36592,-33.81149,3.0,57.4174189598,0.0,0.0,0.0
HD20280,48.68793,-26.4478,10.0,99.1758539162,0.0,0.0,0.0
Gl54.1,18.13063,-16.9999,163.0,132.33548277,0.0,0.0,0.0
HD19467,46.82828,-13.76179,72.0,1584.4910634,5874.0,4.37,-0.2
HD222595,355.55587,-53.42374,34.0,741.300667746,0.0,0.0,0.0
HD220339,350.77125,-10.76396,35.0,794.821168566,5879.0,4.39,-0.05
HD21019,50.82429,-7.79444,48.0,1275.13549476,5703.0,4.54,-0.18
LHS1610,58.17324,17.01508,6.0,100.982226159,0.0,0.0,0.0
Gl382,153.07436,-3.74666,32.0,309.159182299,0.0,0.0,0.0
HD1461,4.67493,-8.05428,441.0,3813.52837671,5765.0,4.41,0.16
HD80883,139.9351,-59.47819,20.0,415.279953766,0.0,0.0,0.0
HD20003,46.91473,-72.32206,197.0,1298.47582188,0.0,0.0,0.0
HD210797,333.58136,-53.30004,38.0,213.75843843,0.0,0.0,0.0
HD199847,315.66806,-61.88012,60.0,475.56105812,0.0,0.0,0.0
HD16297,39.03222,-28.22166,12.0,383.113599341,0.0,0.0,0.0
HD208233,329.47712,-68.21369,1.0,24.1,0.0,0.0,0.0
HD171990,281.96274,-77.8675,73.0,1204.71948602,0.0,0.0,0.0
HD62128,115.51013,-11.85234,16.0,332.939348831,5828.0,4.22,0.33
Gl876,343.319,-14.26736,257.0,508.080672728,0.0,0.0,0.0
HD81639,140.52674,-73.54431,26.0,548.304705433,0.0,0.0,0.0
HD31560,73.92532,-28.56388,5.0,241.767967274,5778.0,4.44,-0.33
HD75530,132.5886,-5.53834,39.0,441.831483713,5311.0,4.48,-0.54
L707-74,20.82656,-12.93984,38.0,772.927655088,0.0,0.0,0.0
HD219077,348.52869,-62.70027,33.0,1052.57869065,5787.0,4.45,0.15
HD59711A,112.66751,-15.99633,60.0,1101.23811685,0.0,0.0,0.0
BD-120662,52.33397,-11.67861,8.0,99.8855845455,0.0,0.0,0.0
HD210975,333.6467,-32.30729,26.0,272.950416743,0.0,0.0,0.0
HIP21539,69.36382,-33.30402,3.0,84.4663838459,0.0,0.0,0.0
HD38277,86.07275,-10.01952,23.0,835.652248247,0.0,0.0,0.0
HD58760,111.61238,-15.77101,3.0,53.9323650511,0.0,0.0,0.0
HD73121,128.80388,-39.97071,215.0,2975.93108791,6117.0,4.22,-0.02
HD224789,0.17976,-69.67567,35.0,616.528661134,0.0,0.0,0.0
HD32724,76.19952,-11.69891,33.0,945.296064733,0.0,0.0,0.0
HD71334,126.45638,-29.93081,57.0,1037.2172434,6023.0,4.12,0.1
Gl229,92.64503,-21.86638,161.0,1160.56598692,3909.0,4.26,-0.63
GJ1129,146.19505,-18.21429,7.0,23.4177283271,0.0,0.0,0.0
HD70642,125.3678,-39.70538,28.0,791.665933333,5960.0,4.41,0.3
Gl367,146.12531,-45.77838,24.0,256.708609127,0.0,0.0,0.0
HD61902,114.72139,-51.08397,49.0,672.656405604,0.0,0.0,0.0
Gl285,116.16683,3.55032,7.0,45.0169967901,0.0,0.0,0.0
HD199289,314.5375,-48.20443,82.0,776.108246316,5925.0,4.62,-0.98
HD50590,103.24896,-23.10765,22.0,376.645748682,0.0,0.0,0.0
BD-050578,46.70344,-4.80972,8.0,102.293890336,5470.0,4.39,0.09
HD10166,24.74113,-27.25536,2.0,88.5045196586,0.0,0.0,0.0
HD1320,4.32195,-43.85385,21.0,566.689174063,0.0,0.0,0.0
BD-050484,38.89811,-4.76775,7.0,91.9739093439,4674.0,4.42,-0.39
HD177565,286.71895,-37.8121,118.0,1886.30472088,5564.0,4.5,-0.24
HR2400,97.82661,-51.82636,40.0,1228.16078345,0.0,0.0,0.0
HD43989,94.78521,-3.43943,15.0,448.633959927,0.0,0.0,0.0
HD27063,64.12643,-0.57225,45.0,863.946520336,0.0,0.0,0.0
HD25587,60.67798,-27.4861,5.0,133.007293033,6258.0,4.61,-0.12
HD223121,356.73508,-31.98272,27.0,306.13157302,0.0,0.0,0.0
HD78429,136.66301,-43.49217,91.0,1536.43465204,5790.0,4.55,0.07
HD38858,87.14734,-4.09544,219.0,3106.15424118,5174.0,4.53,-0.02
HD12387,30.13535,-40.73184,95.0,959.141329523,5349.0,4.03,0.05
HD214385,339.54582,-27.44658,23.0,620.050522135,0.0,0.0,0.0
HD56274,108.9592,-13.04942,253.0,1878.69178686,5245.0,4.57,-0.22
HD9246,22.60372,-29.26091,20.0,419.456517413,0.0,0.0,0.0
HD93385,161.56262,-41.46583,240.0,2448.2641177,6069.0,4.16,-0.29
HD25061,59.10885,-52.93023,21.0,186.932929148,5243.0,4.42,0.07
HD41323,90.56241,-44.00848,18.0,375.624666389,5756.0,4.56,-0.31
HD55,1.33367,-67.83333,57.0,583.934910756,0.0,0.0,0.0
HD8859,21.70486,-29.47732,25.0,494.900535461,0.0,0.0,0.0
HR506,25.62418,-53.74097,54.0,1471.37548233,5096.0,4.61,-0.19
HD211723,334.96965,-37.27747,7.0,76.0264427683,0.0,0.0,0.0
BD-070699,58.64758,-6.82497,3.0,53.1268293803,0.0,0.0,0.0
HD33725,77.97713,-9.11332,25.0,604.236733408,0.0,0.0,0.0
HD21411,51.54932,-30.61724,4.0,214.522446378,0.0,0.0,0.0
HD66221,120.52263,-12.80521,29.0,618.105969879,0.0,0.0,0.0
HD20619,49.75992,-2.84377,38.0,1089.96067819,6188.0,4.24,0.17
HD36108,82.08696,-22.43342,30.0,1110.79109197,6069.0,4.24,-0.01
HD13513A,32.76022,-35.67136,5.0,62.3771592813,0.0,0.0,0.0
CD-44-836B,41.31049,-43.73887,12.0,35.0894571061,0.0,0.0,0.0
Gl887,346.47635,-35.85416,132.0,1049.65427165,0.0,0.0,0.0
LHS3583,311.67001,-81.72119,8.0,33.5195465363,0.0,0.0,0.0
HD7199,17.70477,-66.18798,115.0,1185.74204193,6409.0,4.21,-0.09
HD15337,36.86812,-27.63767,58.0,600.022899563,0.0,0.0,0.0
HD218504,347.1792,-18.75364,70.0,950.458878648,0.0,0.0,0.0
HD23356,55.98291,-19.11112,56.0,810.503781607,5752.0,4.15,0.28
HD222335,354.96435,-32.743,27.0,883.325687388,5540.0,4.45,0.19
HD17548,42.21599,-1.51056,38.0,674.813633532,6011.0,4.44,-0.53
HD6735,16.88736,-41.74605,33.0,960.763212243,6085.0,4.45,-0.06
BD-120327,26.46161,-11.33287,5.0,67.0470730159,4680.0,4.35,-0.34
HD29303,68.7696,-41.56376,3.0,54.9223087643,5819.0,4.52,-0.12
HIP20444,65.69757,-33.1232,5.0,84.8518709281,4907.0,4.41,-0.12
BD-170063,7.14269,-16.22747,29.0,197.382547354,4665.0,4.19,0.01
Gl203,81.99994,9.64238,11.0,29.2203696075,0.0,0.0,0.0
HD220367,351.08297,-72.16492,27.0,857.165310777,0.0,0.0,0.0
HD1690,5.30643,-8.28189,44.0,241.465318421,0.0,0.0,0.0
HD3220,8.75979,-48.935,173.0,980.745084107,5846.0,4.51,-0.22
HD14374,34.81726,-0.78115,19.0,452.975816132,0.0,0.0,0.0
HD204385,322.70726,-62.16707,23.0,769.497342426,5796.0,4.62,-0.47
HD75289,131.91976,-41.73841,21.0,892.952064783,5941.0,4.41,-0.02
HD207832,328.15289,-26.02758,74.0,473.036171978,5718.0,4.45,0.15
HD32646,76.09408,-10.14935,6.0,92.1883940635,0.0,0.0,0.0
HD211583,334.69254,-29.75472,21.0,141.298089159,4761.0,4.39,0.05
HD31128,73.04181,-27.06404,261.0,1097.02918375,0.0,0.0,0.0
HD221146,352.37529,-1.0376,19.0,848.816534947,5585.0,4.6,-0.31
BD-171959,111.14431,-17.8927,5.0,63.7279373587,0.0,0.0,0.0
HD4915,12.79575,-5.03922,58.0,1334.32755724,5650.0,4.57,-0.18
HD208272,328.92664,-29.70604,30.0,595.67323257,0.0,0.0,0.0
HD16008,38.45628,-19.61173,67.0,673.49846325,5712.0,4.42,-0.09
HD30306,70.00315,-71.50638,22.0,562.887164537,0.0,0.0,0.0
HD39091,84.30771,-80.46842,93.0,2022.5065414,5612.0,4.82,0.07
HD61383,114.7158,-5.46564,22.0,394.123001105,5716.0,4.2,-0.49
HD20407,48.77846,-45.66692,51.0,1339.14211344,0.0,0.0,0.0
HD71835,127.05075,-36.72295,115.0,1166.8034496,0.0,0.0,0.0
HD221356,352.88065,-4.08785,45.0,1502.62940541,5923.0,4.23,-0.08
HD210573,333.20488,-56.41979,12.0,112.527374447,4918.0,4.48,-0.07
HD85390,147.51004,-49.79143,96.0,946.258685561,0.0,0.0,0.0
Gl87,33.0839,3.57206,123.0,371.70696792,0.0,0.0,0.0
BD-150767,65.04622,-14.76114,5.0,69.7893258314,0.0,0.0,0.0
LHS3799,335.77965,-17.61196,4.0,10.1774260007,0.0,0.0,0.0
PKS0237-23,40.03489,-23.15376,2.0,3.77359245282,0.0,0.0,0.0
HD207129,327.06614,-47.30419,286.0,3479.55546299,5688.0,4.39,-1.05
HD57568,110.34585,-12.63728,6.0,84.925025758,4821.0,4.51,-0.47
