# Name, RA, Dec, N_exp, SNR, parallax, parallax_error, Kmag, Kmag_err, Bmag, Bmag_err, Vmag, Vmag_err
HD222669,356.01227,-82.50811,64.0,950.797970128,25.1516268234,0.265780654348,6.23799991608,0.0,nan,nan,nan,nan
IOTHOR,40.64262,-50.79997,408.0,3000.50681719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD65277,119.49032,-0.81466,52.0,779.310528608,56.1053818898,0.264961356839,5.5110001564,0.0,9.82999992371,0.0,9.04500007629,0.0
Gl438,175.8316,-51.81969,30.0,357.893475772,2.44694596035,0.268864772932,5.97100019455,0.0,0.0,0.0,0.0,0.0
HD83443,144.3003,-43.27347,50.0,772.078985597,24.7408814221,0.225566984683,6.4439997673,0.0,nan,nan,nan,nan
beta Pic,86.82335,-51.06829,505.0,6405.15316601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIP23708,76.45071,-57.55433,68.0,1479.1462808,85.2322126236,0.406225344933,5.44199991226,0.0,10.2910003662,0.0520000010729,8.97999954224,0.097000002861
HD290038,77.90455,-1.85554,20.0,183.768033129,21.8466283927,0.231920012954,7.3140001297,0.0,10.3549995422,0.0260000005364,9.65200042725,0.0
HD25171,58.96086,-65.18655,51.0,617.699449571,17.5966269911,0.2487649452,6.4889998436,0.0,8.27999973297,0.0,7.89300012589,0.0
HD43834,92.56789,-74.75361,212.0,2771.96590708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD209100,330.85081,-56.7897,353.0,4228.38793277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD24633,58.74201,-1.26271,51.0,272.414169969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-082534,134.32115,-9.4638,16.0,243.766978896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD75745,132.39834,-52.47717,16.0,263.885789689,7.54587364259,0.248201603041,7.93499994278,0.0,10.0109996796,0.0140000004321,9.52200031281,0.0
HD213042,337.31381,-30.01856,37.0,777.269657198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIP9398,30.19881,-45.84274,5.0,68.8071217244,23.8516753182,0.234394381346,0.0,0.0,11.7589998245,0.0189999993891,10.638999939,0.0240000002086
Q0515,79.28243,-44.18241,18.0,33.1900587526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD59468,111.86004,-51.4047,543.0,4101.84869784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-040782,63.79156,-4.41905,2.0,44.7611438638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD45184,96.18439,-28.78082,302.0,3388.99228238,45.5553305388,0.354656446357,4.87099981308,0.0,0.0,0.0,0.0,0.0
BD-130321,26.93186,-12.77108,40.0,197.060447579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHS3836,339.52116,-65.83564,13.0,11.0285991858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD361,2.06868,-14.82389,21.0,864.767841678,36.2903400627,0.389717333539,5.5560002327,0.0,0.0,0.0,0.0,0.0
HD22610,53.69279,-62.45661,4.0,116.892899699,22.6285656081,0.439026427739,7.29699993134,0.0,10.3900003433,0.103000000119,nan,nan
HD6718,16.95277,-8.23503,37.0,300.438446275,19.7388146938,0.409040535245,6.87599992752,0.0,9.05300045013,0.0329999998212,8.46700000763,0.0149999996647
HR2667,105.98822,-43.60836,94.0,2056.66194354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD16714,39.94954,-33.90057,37.0,577.854471299,24.6834176018,0.226952396753,0.0,0.0,8.97900009155,0.0480000004172,8.26200008392,0.0469999983907
HD41071,90.17322,-44.89715,10.0,94.9974210176,18.6510464157,0.223766222202,7.32100009918,0.0,9.78699970245,0.0189999993891,9.0389995575,0.0879999995232
HD43197,93.40049,-29.89698,47.0,301.250510373,16.3399166183,0.217910205241,7.20300006866,0.0,9.70800018311,0.0170000009239,9.03299999237,0.0260000005364
HD192310,303.82567,-27.03328,1487.0,6830.61309767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD221420,353.33559,-77.38555,64.0,1567.85601061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD65907A,119.44529,-60.30332,740.0,6184.92989693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD30053,70.33214,-52.62577,35.0,667.424527568,16.6858017714,0.233352758905,6.84499979019,0.0,nan,nan,nan,nan
HD35854,81.56314,-32.50454,62.0,1077.31502821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD69655,123.85644,-52.06043,51.0,1349.41667768,37.045959971,0.218417252499,5.1810002327,0.0,7.10200023651,0.0,6.59999990463,0.0
HD32450A,75.61887,-21.25626,1.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD20794,49.98843,-43.06929,2967.0,15866.3809938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-090956,70.12163,-9.19549,5.0,44.9861089671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD26430,62.03324,-53.78052,207.0,223.791242009,20.6774023933,0.218408891841,7.61800003052,0.0,10.6809997559,0.0209999997169,10.0600004196,0.0
HD41087,90.29515,-38.27456,14.0,170.445152468,18.8838930063,0.218800270205,7.34200000763,0.0,9.71500015259,0.00999999977648,8.99400043488,0.00400000018999
HD4308,11.17086,-65.64967,165.0,2217.63850977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD38078,85.34889,-35.71363,7.0,102.623048093,17.2616365481,0.2218332413,7.40199995041,0.0,9.99800014496,0.319000005722,9.0,0.0
HD283,1.88661,-23.82081,21.0,390.648537691,30.4527263017,0.256727144,0.0,0.0,9.45499992371,0.00700000021607,8.67700004578,0.0610000006855
HD31026,72.64889,-41.04702,1.0,28.7,19.5215315706,0.391709282555,6.87599992752,0.0,nan,nan,nan,nan
HR2787,109.57774,-36.7356,14.0,1106.80360046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bps22497,10.41399,-26.31472,3.0,45.6274040463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD3823,10.11262,-59.45376,111.0,2278.7568058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD41172,90.52837,-27.42718,2.0,66.2643946626,18.5584400434,0.269251380281,6.12900018692,0.0,nan,nan,nan,nan
GJ1125,142.68495,0.32194,9.0,53.1320995256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G108-22,100.55818,3.59149,18.0,53.4146983517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD23456,55.77456,-50.64361,29.0,1033.07985171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD24892,59.1203,-25.1831,27.0,1000.01496489,24.6090435564,0.284557355684,0.0,0.0,7.59299993515,0.0109999999404,6.98099994659,0.167999997735
Gl388,154.89916,19.86885,61.0,894.963367965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD11505,28.27825,-1.32756,24.0,810.736455329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD19034,45.91258,-5.66669,22.0,553.632305777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD9782,23.86018,-13.38109,32.0,955.107590798,26.6007340055,0.4719324048,5.79400014877,0.0,0.0,0.0,0.0,0.0
HR7703,302.79974,-36.10448,45.0,956.169739115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD181433,291.2925,-66.46893,194.0,1240.18145043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD218511,347.43154,-67.73341,6.0,228.604877463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD13252,32.23654,-27.41918,4.0,99.584687578,17.4637511088,0.246741921617,7.50500011444,0.0,10.0509996414,0.0839999988675,9.33399963379,0.115000002086
HD44420,95.43115,-0.53938,22.0,748.724395222,23.5849880294,0.257851782134,6.09800004959,0.0,nan,nan,nan,nan
HD97998,168.95499,-39.32473,23.0,884.166777254,37.0467300892,0.285951046523,0.0,0.0,nan,nan,nan,nan
LHS1731,75.83519,-17.37577,9.0,43.7346544516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHS1935,114.67183,-21.22498,8.0,40.5251773593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gl908,357.30159,2.39825,87.0,572.462182157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD13060,30.19592,-80.53393,92.0,620.011338606,22.8418458064,0.241859292425,6.98400020599,0.0,0.0,0.0,0.0,0.0
HR3259,124.60089,-12.63406,657.0,5351.43988661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD25004,59.15365,-41.3452,6.0,118.854659143,56.881792469,0.258258517043,5.83699989319,0.0,10.0480003357,0.0320000015199,8.82600021362,0.00600000005215
ZET1RET,49.45319,-62.574,264.0,3610.72494106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD28821,68.09122,-5.03951,26.0,749.211852549,28.0662601837,0.238694604599,5.99700021744,0.0,8.23700046539,0.0189999993891,7.70300006866,0.00700000021607
HD38973,86.61734,-53.21895,44.0,1144.60273458,35.1807100019,0.241187963722,5.21999979019,0.0,0.0,0.0,0.0,0.0
HD21938,52.71153,-37.37402,23.0,684.663106937,23.5980577212,0.255273772738,6.18200016022,0.0,8.23200035095,0.0,8.08399963379,0.0
HD40503,89.37117,-37.84892,4.0,54.0328603722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-170400,32.29657,-16.33903,205.0,340.559965351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR8858,349.47386,-9.18429,9.0,794.795011308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ1002,1.67744,-7.5424,7.0,8.74871419124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD67458,121.75323,-29.40335,29.0,1082.16051028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHS1481,44.54406,-12.88575,10.0,28.1879406839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHS288,161.08884,-61.20856,8.0,9.07083237636,2.30603209087,0.409272966001,9.39900016785,0.0,9.87600040436,0.0,9.79800033569,0.0
HD7377,18.43734,-8.31772,40.0,1373.46037802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD72579,127.78981,-54.08879,51.0,678.901819117,23.8519239141,0.231961622638,6.46500015259,0.0,8.91100025177,0.0,8.1829996109,0.0
HD38382,86.12022,-20.12665,28.0,1040.16954387,38.6211727027,0.580657598606,4.96500015259,0.0,0.0,0.0,0.0,0.0
HD34449,72.64191,-85.37655,22.0,428.521201342,22.2299733197,0.227922190255,6.62300014496,0.0,nan,nan,nan,nan
HD88218,152.38299,-35.85687,89.0,1967.31939196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD3569,9.63735,-12.17423,18.0,305.741737419,24.0996079497,0.29945594185,7.18699979782,0.0,10.0769996643,0.0680000036955,9.15600013733,0.0
HD210918,333.66268,-41.38377,98.0,1979.38910525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD83529,144.37109,-49.99099,35.0,1013.1040223,29.5917048415,0.321623194352,5.45100021362,0.0,7.55999994278,0.0,6.96500015259,0.0
HD55693,108.26156,-24.22741,29.0,993.444683916,27.6939057501,0.250819408043,5.6970000267,0.0,7.77899980545,0.0,7.13800001144,0.0
HD9796,23.83869,-21.20227,21.0,421.400355956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD78747,136.98689,-50.48282,67.0,1146.84831604,24.10305134,0.248775317555,6.17899990082,0.0,8.26799964905,0.0,7.69000005722,0.0
HD18386,44.15787,-22.30944,14.0,407.151826718,22.1176629366,0.328678519709,6.81500005722,0.0,0.0,0.0,0.0,0.0
HD31822,74.6509,-9.33502,81.0,1196.62537162,21.7513965008,0.225777359028,6.60099983215,0.0,8.44499969482,0.0140000004321,7.93400001526,0.0299999993294
HD44447,93.77945,-71.70327,60.0,1226.99966178,30.9416268405,0.236648193826,5.21099996567,0.0,0.0,0.0,0.0,0.0
HD13789,33.55782,-3.63527,11.0,305.682842175,43.8832884246,0.291005732663,6.01499986649,0.0,9.55200004578,0.0439999997616,8.53199958801,0.0390000008047
Gl803,311.2912,-31.34608,34.0,375.680609028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD22879,55.09315,-3.21721,126.0,2096.62256975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD196761,310.0493,-23.77434,86.0,1776.86636245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD35650,81.1265,-38.97113,38.0,326.340497027,57.396380067,0.246758543535,5.92100000381,0.0,10.2930002213,0.0329999998212,8.97099971771,0.0
HD71479,126.89638,-5.14888,32.0,1025.32856685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD40307,88.5189,-60.02373,447.0,3215.1794911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD30669,72.1188,-28.41876,54.0,309.919086214,17.2810917994,0.292717965358,7.32899999619,0.0,9.83899974823,0.0399999991059,9.14900016785,0.0710000023246
Gl145,53.23385,-44.70397,7.0,47.2142986816,91.0172867704,0.28686497505,0.0,0.0,13.0290002823,0.0280000008643,11.5069999695,0.0170000009239
HD44573,95.38831,-22.21774,26.0,536.309518841,34.8046757457,0.307250263522,6.27500009537,0.0,9.68000030518,0.488999992609,8.41499996185,0.0
